上午	{am} Vormittag
刚才	soeben; gerade (im Sinn von „soeben"); eben (Anmerkung: im Unterschied zu 刚{刚} kennzeichnet 刚才 ein Geschehen als tatsächlich knapp - im Allgemeinen max. eine halbe Stunde - vor dem Zeitpunkt des Sprechens (nicht einem sonstigen Bezugszeitpunkt) eingetreten und drückt kein ununterbrochenes Fortwirken des Geschehens bis zum Bezugszeitpunkt aus; zudem ist 刚才 ein Zeitnomen und kann als solches verwendet werden.)
还	(hier:) noch (im zeitlichen Sinn)
见	sehen; sich mit ... treffen; einander sehen/treffen; besuchen
过	(Aspektpartikel, die vor allem an Aktionsverben und an Adjektive, die einen Zustand und keine Eigenschaft bezeichnen, angehängt werden kann, um auszudrücken, dass etwas, was nicht mehr andauert, einmal der Fall war; meist verwendet, wenn es um die gemachte Erfahrung geht; Beispiel: 他去过那儿。= „Er war einmal dort." - und weiß daher z.B., wie man hinkommt)
这么说	(hier:) demnach; (sonst auch:) es so sagen; das sagen
这么	so; auf diese Weise
国	Land; Staat
有意思	amüsant/spaßig/interessant sein; Sinn haben; sinnvoll sein; gedankentief sein
叫	(hier:) nennen
吧	(Partikel zum Ausdruck einer Vermutung, einer Bitte, eines Vorschlags, einer milden Aufforderung (ohne 吧 strenger), eines verhandelnden Tonfalls (wie in 好吧 weiter unten im Lektionstext)
华	China; chinesische{r/‌‑s} (nur in Zusammensetzungen)
华	(ein Familienname)
声	Ton (in den Bezeichnungen für die chinesischen Silbentöne, z.B. 第一声 = erster Ton)
声调	Silbenton (aber nicht in den Bezeichnungen für die chinesischen Silbentöne); Stimme
准	genau; exakt
常	oft; öfters
有时候	manchmal (wörtl.: "es gibt Zeitpunkte")
小	(Präfix, in dieser Lektion vor dem Familiennamen einer jüngeren vertrauten Person)
小	klein (nicht, wenn nur auf die vertikale Dimension - z.B. die Körpergröße - bezogen); (bei Menschen:) jung
老	(Präfix, in dieser Lektion vor dem Familiennamen einer älteren vertrauten bzw. Vertraulichkeit anbietenden Person)
老生	Höhersemestrige{r}; Schüler{in} einer höheren Klasse (auch: Bezeichnung für die ältere männliche Rolle in der Peking-Oper)
不能	(hier:) nicht dürfen; (sonst auch:) nicht können; nicht zu ... in der Lage sein; nicht zu ... vermögen
句	Satz
句	(Zähleinheitswort für kurze zusammenhängende Äußerungen mit vollständigem Sinn, v.a.:) Satz, Verszeile
下午	{am} Nachmittag
讲座	Vortrag
咱们	wir (nordchinesisch umgangssprachlich, wenn der/die Angesprochene{n} inkludiert ist/sind)
一起	gemeinsam; zusammen
中午	{zu} Mittag
点儿	(hier:) Kurzform von 一点儿 (Achtung: das 有点儿 in 有点儿事 ist das Verb有 = „haben" + das Zähleinheitswort 点儿, nicht das Adverb 有点儿 = „etwas"/„ein wenig"aus L. 3; wenn 一点儿 Objektattribut wie in 有一点儿事oder Komplement wie in 慢一点儿 = „ein bisschen langsamer" ist, lässt man ein unbetontes „‍一‍" häufig wegfallen)
一点儿	ein bisschen; ein wenig (aber nicht zeitlich wie in „ein bisschen warten") (in {一}点儿事 im Lektionstext trägt {一}点儿 hauptsächlich zur Höflichkeit bei)
有事	etwas vorhaben; etwas zu tun haben (im Lektionstext: 有点儿事 = „etwas zu erledigen haben",
有事	umwunden ausgedrückt); ein Anliegen haben
事	Angelegenheit; Sache (im Sinn von „Angelegenheit", nicht von „Ding"); Anliegen
等	{auf...} warten
等	(In 等一会儿去 im Lektionstext entspricht 等一会儿 - wörtl. „warten eine Weile" - annähernd dem deutschen „dann etwas später"; mit 等 wirkt die Wortgruppe höflicher.)
一会儿	eine {kurze} Weile; ein Weilchen; ein Moment; kurz (zeitlich); ein bisschen {zeitlich} (in der letzten Zeile des Lektionstexts:) dann gleich; (sonst auch:) in/‌nach einer {kurzen} Weile; kurze Zeit später; gleich
就	(hier:) gleich
好	(hier:) leicht zu
办公室	Büro, Sekretariat (办 = „erledigen", 公 = „öffentlich", hier „Öffentliches", 室 = „Raum")
慢	langsam
记	notieren; sich merken
一下{儿}	mal; mal kurz (in diesen Verwendungen drückt „一下{儿}" oft die Kürze oder den versuchsartigen bzw. saloppen Charakter einer Handlung aus, v.a. in Aufforderungssätzen auch Höflichkeit - man will das Gegenüber nicht überfordern und stellt deshalb die Handlung, die man sich von ihm erwünscht, als versuchsartig oder kurz dar); (weitere Bedeutung:) ein Mal (genaue Frequenzangabe bei gewissen kurzen Bewegungen wie z.B. „klopfen")
没关系	macht nichts (abgekürzte Form von 没有关系 = „ohne Belang sein", wörtl. „keine Beziehung haben"; als Erwiderung auf 对不起 sagt man 没关系 ohne 有)
记上	notieren; aufschreiben
上	(als Richtungskomplement v.a. „auf"); (drückt als Resultatskomplement oft aus, dass die jeweilige Handlung einen anhaltenden Zustand nach sich zieht, der sich aus dem Aufeinandertreffen von Dingen ergibt - z.B. treffen in关上门 = „die Tür schließen" der Türflügel und der Türpfosten aufeinander; manchmal ist dieses Aufeinandertreffen recht abstrakt wie z.B. in 记上: das zu Notierende kommt mit dem Papier in Kontakt.)
行	o.k.; passt; es geht (行 ist tatsächlich das alte chinesische Wort für die Tätigkeit „gehen")
热心	bereitwillig; hilfsbereit; hingebungsvoll; leidenschaftlich
帮助	helfen
帮助	Hilfe
千万别	auf keinen Fall (in Aufforderungen)
千万	auf jeden Fall; unter allen Umständen; unbedingt
回见	bis später; bis bald
